"","Entity","Year","Code","nuclear_weapons_stockpile","military1","const_expenditure","curr_expenditure","GDPShare","govtShare","Miliary_exp_mil"
"32","China",2019,"CHN",290,21195000,240332.555458151,240332.555458151,0.017278278625043,0.0491195189563631,226141.277729076
"33","China",2020,"CHN",350,21195000,244933.509534944,252304.223741309,0.0174979577278881,0.0468554817502816,232127.111870655
"34","France",1988,"FRA",410,3052004,50998.0618857469,30327.2707410937,0.0296318060884889,0.0587778044320816,30423.6553705469
"35","France",1989,"FRA",410,2969545,51623.2097751236,29665.4543354031,0.028799353124635,0.0584911677309422,29680.4521677015
"36","France",1990,"FRA",505,3710276,51394.8715812028,35774.4303249841,0.0280526762706676,0.0562272477258817,36438.595162492
"37","France",1991,"FRA",540,3766593,51729.5686449216,35869.1209152144,0.0281213643806721,0.0551194517377115,36767.5254576072
"38","France",1992,"FRA",540,4290192,50102.0676692332,37902.2698207805,0.0269066071063176,0.0514267602267547,40402.0949103902
"39","France",1993,"FRA",525,4186742,49546.9841882392,35775.2732928873,0.0268953480643636,0.048987591294078,38821.3466464437
"40","France",1994,"FRA",510,4432700,49801.8883370886,37288.606059734,0.0266037496035159,0.0489696377122681,40807.803029867
"41","France",1995,"FRA",500,4444600,47336.5088011866,40124.0241383696,0.0249249618936836,0.0457260679176181,42285.0120691848
"42","France",1996,"FRA",450,4444600,46210.5407598703,38977.7340957754,0.0241447395059335,0.0442295444506778,41711.8670478877
"43","France",1997,"FRA",450,4444600,46377.4940969771,34697.9040991796,0.0237540965314127,0.0437956330391438,39571.9520495898
"44","France",1998,"FRA",450,4444600,45144.7898711231,33633.5612832294,0.0222620830652768,0.0422779323913665,39039.7806416147
"45","France",1999,"FRA",450,2088000,45524.5533672321,32672.7142848488,0.0217784297022174,0.0415916682254688,26776.3571424244
"46","France",2000,"FRA",470,4656000,45009.6162854001,28403.1389487059,0.0208501824480333,0.0403664247573078,37481.5694743529
"47","France",2001,"FRA",350,4656000,44870.8574422118,27951.566384416,0.0203069528996546,0.0392645351975583,37255.783192208
"48","France",2002,"FRA",350,1782000,45792.7750885697,30578.3989328217,0.0204625799037992,0.0387583863805826,24199.1994664108
"49","France",2003,"FRA",350,4490380,47174.1053061303,38569.1158129361,0.020956804128006,0.0393403524955552,41736.457906468
"50","France",2004,"FRA",350,6048000,48462.0122268752,44524.5796125999,0.0210435083527246,0.0397160816369336,52502.2898062999
"51","France",2005,"FRA",350,4461600,47468.6662245908,44442.0505231392,0.0202370691892637,0.0379724453303837,44529.0252615696
"52","France",2006,"FRA",350,6418300,47687.3874477193,45792.1484155244,0.0197509829987374,0.0373536019722208,54987.5742077622
"53","France",2007,"FRA",350,7186800,47669.4148212303,50684.4673844229,0.0190752863357749,0.0362885898295714,61276.2336922115
"54","France",2008,"FRA",300,7831200,47322.9825776483,55365.965844831,0.0189707589581907,0.0355948832790609,66838.9829224155
"55","France",2009,"FRA",300,7831200,50824.2354917169,56441.455398191,0.0209814733452729,0.0367118007286521,67376.7276990955
"56","France",2010,"FRA",300,6912000,48414.9721013959,52044.0605650524,0.0196941935275241,0.0346230230152887,60582.0302825262
"57","France",2011,"FRA",300,6912000,46975.2010841178,54120.8710095016,0.0189140621361087,0.0336006966306541,61620.4355047508
"58","France",2012,"FRA",300,5977800,46253.6158227961,50216.5074031664,0.0187108059984757,0.032764313647162,54997.2537015832
"59","France",2013,"FRA",300,6240200,45953.9416114491,52001.4624476638,0.0184987591828694,0.032324769425109,57201.7312238319
"60","France",2014,"FRA",300,6360900,46753.6805458788,53134.7508988024,0.0186296143947269,0.0325615126608226,58371.8754494012
"61","France",2015,"FRA",300,5520000,48032.6841297447,45647.4716405013,0.0187225828127684,0.032963702715752,50423.7358202506
"62","France",2016,"FRA",300,5564000,49894.985323301,47370.5895526306,0.0191728236804142,0.0338382017312286,51505.2947763153
"63","France",2017,"FRA",300,5564000,50551.4522011373,49195.6622503198,0.0190864201234437,0.0337938431481997,52417.8311251599
"64","France",2018,"FRA",300,5564000,49304.3512462932,51409.8128385916,0.0184505339891481,0.0331466333022637,53524.9064192958
"65","France",2019,"FRA",300,5564000,50118.9292119346,50118.9292119346,0.018454911956468,0.0332144927200191,52879.4646059673
"66","France",2020,"FRA",290,5564000,51572.2301066409,52747.0648580873,0.0207332142732331,0.032863082915813,54193.5324290437
"67","India",1988,"IND",0,868625,19850.8131414219,11346.4191534156,0.0372867178276269,0.147782733736195,10016.3345767078
"68","India",1989,"IND",0,836955,20917.6861396863,10589.796924594,0.0353417972767288,0.135662007082147,9479.673462297
"69","India",1990,"IND",0,840060,20604.3512225631,10537.0354500528,0.0314621461029961,0.124005838732906,9468.81772502643
"70","India",1991,"IND",0,729896,19238.59767527,8622.47388138455,0.0290997432764267,0.108575159613373,7960.71694069227
"71","India",1992,"IND",0,732530,18386.5055077733,8083.23140970982,0.0270483970561409,0.103122997242532,7704.26570485491
"72","India",1993,"IND",0,718620,20766.7889895231,8253.54258148511,0.0282354224568723,0.109685970547345,7719.87129074256
"73","India",1994,"IND",0,752450,20859.463917461,8880.5512260269,0.0266467372708604,0.103457363753872,8202.52561301345
"74","India",1995,"IND",0,828496,21484.700505208,9754.4646298929,0.0257848357246069,0.105032518311266,9019.71231494645
"75","India",1996,"IND",0,828496,21874.2322360688,9904.67273630381,0.024727682254674,0.103272806402689,9094.8163681519
"76","India",1997,"IND",0,828496,24214.0663733855,11464.8833898324,0.0264773242601716,0.106779015256866,9874.92169491619
"77","India",1998,"IND",3,1279590,25263.2403610937,11920.6108183832,0.0272731141679376,0.106595076235281,12358.2554091916
"78","India",1999,"IND",8,1279590,29359.5851035237,13895.562461387,0.0295719564743412,0.116405638176475,13345.7312306935
"79","India",2000,"IND",13,1008320,30295.5351461024,14287.5142407035,0.0294892990622572,0.115030570436152,12185.3571203517
"80","India",2001,"IND",18,1298120,31350.6900956937,14600.6423460997,0.029244355462896,0.105239515332745,13790.9211730499
"81","India",2002,"IND",23,1298120,31253.6520285599,14749.6672515907,0.0282686683045838,0.0987955589893551,13865.4336257954
"82","India",2003,"IND",28,1398120,31951.4667820035,16333.986643282,0.0267777693222748,0.0910011815104557,15157.593321641
"83","India",2004,"IND",33,1976000,37114.5502512862,20238.5665265411,0.0282875224798105,0.101174290766392,19999.2832632706
"84","India",2005,"IND",38,1901200,39498.1695284604,23072.3129251701,0.0275490766621496,0.104231282650738,21042.156462585
"85","India",2006,"IND",43,2368080,39818.200893279,23951.9279581522,0.0252680863026345,0.0947841592304699,23816.3639790761
"86","India",2007,"IND",50,2692560,40299.2093903019,28254.7734500647,0.024782482091706,0.0885118220824436,27590.1867250323
"87","India",2008,"IND",60,3059260,45709.3816838748,33002.3767273797,0.0263146214095939,0.0888878144187237,31797.4883636899
"88","India",2009,"IND",70,3059260,53815.6951696506,38722.1543921843,0.0312938717929943,0.103147376035576,34657.3771960922
"89","India",2010,"IND",80,4599900,54032.1025394423,46090.4456565003,0.0288946132772858,0.0986423032373848,46044.7228282501
"90","India",2011,"IND",90,4599900,54555.42894816,49633.8157937027,0.0270448355847068,0.0959276741774918,47816.4078968513
"91","India",2012,"IND",100,4805100,54361.2700272582,47216.9200482061,0.0261816761903533,0.0927262106429304,47633.9600241031
"92","India",2013,"IND",110,4787200,53960.8463164782,47403.5288014226,0.0254882567900998,0.0929598319740853,47637.7644007113
"93","India",2014,"IND",100,5111760,56756.3141256791,50914.096277083,0.0254398250277129,0.0950479048984597,51015.8481385415
"94","India",2015,"IND",110,5141040,56773.0618027565,51295.4837539436,0.0245745060051391,0.0883119896244641,51352.9418769718
"95","India",2016,"IND",120,5584100,62567.4702397196,56637.6226408741,0.0254315118788674,0.0908014726923891,56239.311320437
"96","India",2017,"IND",130,5584100,67522.1239061038,64559.4352806927,0.0253146258766694,0.0939038636879153,60200.2176403463
"97","India",2018,"IND",140,5584100,69285.4245955704,66257.801718275,0.0243392206663758,0.0900634250795697,61049.4008591375
"98","India",2019,"IND",140,5584100,71468.9005243041,71468.9005243041,0.025191207637745,0.0898606506067141,63654.9502621521
"99","India",2020,"IND",150,5584100,73000.865182533,72887.4466043041,0.0288267039974077,0.0908232082739796,64364.223302152
"100","Israel",1988,"ISR",49,569690,14715.3462233269,6999.57498530434,0.159470945572914,0.140503782050795,6348.23749265217
"101","Israel",1989,"ISR",51,577538,11631.2389750893,5550.71026044257,0.124457326547219,0.140503782050795,5663.04513022128
"102","Israel",1990,"ISR",53,657238,12283.3833164244,6528.76733123656,0.12362686187267,0.140503782050795,6550.57366561828
"103","Israel",1991,"ISR",56,678868,16687.5117087936,9337.64989462416,0.155869829136602,0.140503782050795,8063.16494731208
"104","Israel",1992,"ISR",58,699028,12596.901798055,7313.3883897285,0.10925077527679,0.140503782050795,7151.83419486425
"105","Israel",1993,"ISR",60,634088,13852.4467658147,7752.80669997369,0.115232439907469,0.140503782050795,7046.84334998684
"106","Israel",1994,"ISR",62,669859,13151.8865185852,7772.18726759513,0.101199658353758,0.140503782050795,7235.38863379756
"107","Israel",1995,"ISR",63,720613,12219.7608439578,7945.97151950955,0.0791874390646774,0.140503782050795,7576.05075975477
"108","Israel",1996,"ISR",64,720613,12449.8704628812,8499.44174740851,0.0772965418733875,0.140503782050795,7852.78587370425
"109","Israel",1997,"ISR",66,720613,12462.005619566,8580.69753005845,0.0747926785987447,0.140503782050795,7893.41376502922
"110","Israel",1998,"ISR",68,720613,12285.371091154,8095.64785316336,0.0698021666560999,0.140503782050795,7650.88892658168
"111","Israel",1999,"ISR",70,720613,12025.6455739366,7652.60403703023,0.0653012330164809,0.140503782050795,7429.36701851511
"112","Israel",2000,"ISR",72,716560,12745.683671658,8327.54375299401,0.0629716498346273,0.140503782050795,7746.571876497
"113","Israel",2001,"ISR",74,716560,13279.7399262669,8504.27401234054,0.0650806312310061,0.136758869099057,7834.93700617027
"114","Israel",2002,"ISR",76,897490,13284.9499874984,7981.51892642608,0.0659401334001594,0.12785358794731,8478.20946321304
"115","Israel",2003,"ISR",78,909046,13066.2407580075,8225.28122824777,0.06486405990792,0.138143531494321,8657.87061412388
"116","Israel",2004,"ISR",80,964035,13508.9628062116,8605.12541332179,0.0635803509669135,0.142870372771355,9122.7377066609
"117","Israel",2005,"ISR",80,946052,13840.2158759553,8921.94219756222,0.0626491269041474,0.143276329114377,9191.23109878111
"118","Israel",2006,"ISR",80,1061868,14051.5557626898,9315.25356781371,0.0604956445483926,0.140832502052754,9966.96678390686
"119","Israel",2007,"ISR",80,900984,15752.0920211196,11382.2028782302,0.06367865558416,0.153710363508458,10196.0214391151
"120","Israel",2008,"ISR",80,1065886,15952.05820363,13803.7134687098,0.0639180108446489,0.151926380368098,12231.2867343549
"121","Israel",2009,"ISR",80,1065886,15633.8553815941,12754.2379346649,0.0614811192852559,0.145926742761709,11706.5489673324
"122","Israel",2010,"ISR",80,1319428,15747.3697969867,13875.2116224522,0.0593634504002675,0.146787615051396,13534.7458112261
"123","Israel",2011,"ISR",80,1319428,15918.3744938147,15163.2277195071,0.0579375335779688,0.145581389108765,14178.7538597536
"124","Israel",2012,"ISR",80,1476000,16240.4536678197,14600.6659889209,0.0567159045259395,0.140387406302833,14680.3329944605
"125","Israel",2013,"ISR",80,1674330,16738.1662136219,16324.8180438467,0.0557854001055897,0.138055165855909,16534.0590219234
"126","Israel",2014,"ISR",80,1808222,18007.5963530108,17810.0435308174,0.0575337005689316,0.147851932286446,17946.1317654087
"127","Israel",2015,"ISR",80,1678953,18257.303069782,16516.7874447923,0.0550902752450181,0.145894266540312,16653.1587223961
"128","Israel",2016,"ISR",80,1792494,19212.7917774232,17488.1761650017,0.0548511716730168,0.144578572504465,17706.5580825008
"129","Israel",2017,"ISR",80,1792494,20053.4009732178,19434.1297023181,0.0552874121005764,0.142475553528905,18679.534851159
"130","Israel",2018,"ISR",80,1792494,20074.0986230944,19759.1734506567,0.0533188467038149,0.134556116730233,18842.0567253284
"131","Israel",2019,"ISR",80,1792494,20504.3771043771,20504.3771043771,0.051929328296119,0.132590165362131,19214.6585521886
"132","Israel",2020,"ISR",90,1792494,21065.0207764366,21704.4534883721,0.0562452693315313,0.120883286273088,19814.696744186
"133","Pakistan",1988,"PAK",0,258279,3886.98942273875,2721.72323962829,0.0678581073127497,0.251016888308281,2652.25661981414
"134","Pakistan",1989,"PAK",0,262852,3898.48600074773,2580.14263807414,0.0653272525576236,0.251016888308281,2604.33131903707
"135","Pakistan",1990,"PAK",0,249485,4114.49012369098,2810.10162433087,0.0652232023523122,0.251016888308281,2652.47581216544
"136","Pakistan",1991,"PAK",0,280269,4404.54652307843,3067.12379415818,0.0657095278815428,0.251016888308281,2934.90689707909
"137","Pakistan",1992,"PAK",0,329809,4683.24915368572,3388.77637265377,0.0669818754925138,0.251016888308281,3343.43318632689
"138","Pakistan",1993,"PAK",0,329224,4659.31644437663,3308.7607445779,0.0642731262310377,0.251016888308281,3300.50037228895
"139","Pakistan",1994,"PAK",0,349552,4525.45081750691,3320.61792937389,0.0592354829296761,0.273959292078393,3408.06896468695
"140","Pakistan",1995,"PAK",0,360073,4603.68681123997,3665.93242675246,0.0582022528285793,0.27206225534919,3633.33121337623
"141","Pakistan",1996,"PAK",0,360073,4602.47801488021,3547.79967127419,0.0603716630506556,0.24575826986178,3574.26483563709
"142","Pakistan",1997,"PAK",0,360073,4406.81445563348,3320.23886260535,0.056212164889017,0.250372807862256,3460.48443130268
"143","Pakistan",1998,"PAK",2,318240,4406.77720558507,3218.88173828494,0.054150950442544,0.234468863343461,3200.64086914247
"144","Pakistan",1999,"PAK",8,318240,4450.35202013454,3080.76451444121,0.0518989926490607,0.239751601619306,3131.5822572206
"145","Pakistan",2000,"PAK",14,271440,4459.88237263412,2973.07272191798,0.0416872271381496,0.224228170087259,2843.73636095899
"146","Pakistan",2001,"PAK",20,271440,4771.04455823678,2842.04679042489,0.0387893394479455,0.240323891062273,2778.22339521244
"147","Pakistan",2002,"PAK",26,296000,5130.83253112861,3273.40189338254,0.0407377016787657,0.225692981352334,3116.70094669127
"148","Pakistan",2003,"PAK",32,403742,5482.8265983807,3722.81479429284,0.0409142718735613,0.254143724777713,3880.11739714642
"149","Pakistan",2004,"PAK",38,384683,5708.16395140044,4128.19548936711,0.0395603411669147,0.260578625401703,3987.51274468355
